text	labels
Local news reports said at least five mortar shells hit the palace compound and other mortars were fired elsewhere in Mogadishu Wednesday .	O O O O O O O O O O O O O O O O O O O O B-geo B-tim O
The attacks occurred after the government said it will go ahead with a reconciliation conference to which more than 1,300 Somali elders , warlords and politicians are invited .	O O O O O O O O O O O O O O O O O O O O B-gpe O O O O O O O O
Iraqi military officials say tanks and troops have arrived in the northern city Mosul for a new offensive against al Qaida in Iraq fighters .	B-gpe O O O O O O O O O O O O B-geo O O O O O B-org I-org I-org I-org O O
Officials will not say how many troops have arrived in the Sunni Arab and Kurdish city , where bombings last week killed at least 34 people and wounded more than 200 .	O O O O O O O O O O O B-geo I-geo O B-geo O O O O O O O O O O O O O O O O O
U.S. commanders have not explained how American forces will participate in the offensive .	B-gpe O O O O O B-gpe O O O O O O O
Officials say al Qaida in Iraq fighters have fled successful campaigns against them in Anbar province and Baghdad to other northern provinces .	O O B-org I-org I-org I-org O O O O O O O O B-geo O O B-geo O O O O O
Mosul is the largest city north of Baghdad and has long been a stronghold of Sunni militant fighters .	B-geo O O O O O O B-geo O O O O O O O B-org O O O
In other violence , U.S. officials said one American soldier was killed while on patrol in Baghdad Sunday .	O O O O B-gpe O O O B-gpe O O O O O O O B-geo B-tim O
Egyptian police have arrested at least 16 members of the opposition Muslim Brotherhood as parts of the country prepare for parliamentary runoff elections Saturday .	B-gpe O O O O O O O O O O B-org I-org O O O O O O O O O O B-tim O
The arrests occurred Friday in Alexandria .	O O O B-tim O B-geo O
A spokesman for the Brotherhood said the arrests are an attempt to cut the Brotherhood off from its supporters and punishment for winning parliamentary seats in earlier elections .	O O O O B-org O O O O O O O O O B-org O O O O O O O O O O O O O O
The Muslim Brotherhood has tripled its strength in parliament in recent elections , raising the party 's total to 47 seats .	O B-org I-org O O O O O O O O O O O O O O O O O O O
In Saturday 's elections , voters will cast ballots in nine provinces where no candidate won a majority in the previous round of voting .	O B-tim O O O O O O O O O O O O O O O O O O O O O O O
The Muslim Brotherhood is banned as a political party , but it endorses so-called independent candidates whose allegiance to the party is known to voters .	O B-org I-org O O O O O O O O O O O O O O O O O O O O O O O
"Hardline lawmakers in Pakistan 's North West Frontier Province have pushed through a law that aims to ensure "" Islamic correctness "" in public places and establishes a morality police to enforce decent behavior ."	O O O B-geo O B-geo I-geo I-geo I-geo O O O O O O O O O O O O O O O O O O O O O O O O O O
A six-party coalition of religious based parties , the Mutahida Majlis-e-Amal , dominates the provincial assembly , so the bill was easily passed Thursday by a vote of 68-34 .	O O O O O O O O O B-org I-org O O O O O O O O O O O O B-tim O O O O O O
The provincial governor must still sign the bill before it becomes law , a step seen only as a formality .	O O O O O O O O O O O O O O O O O O O O O
"The proposed law calls for setting up a "" religious police force "" to make sure people adhere to Islamic values in public places , and entertainment outlets close during weekly Friday prayers ."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-tim O O
Violators could be jailed for up to six months .	O O O O O O O O O O
The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .	O O O O O O O O O O O O O O O O B-org O O B-geo O
British police say they have arrested a man who dressed as suicide bomber at a demonstration against the publication of cartoons depicting Islam 's Prophet Muhammad .	B-gpe O O O O O O O O O O O O O O O O O O O O O B-org O B-per I-per O
Bedfordshire police said Tuesday that Omar Khayam was arrested in Bedford for breaching the conditions of his parole .	B-gpe O O B-tim O B-per I-per O O O B-geo O O O O O O O O
Police said the British Home Office sought an investigation of Khayam 's behavior after he was photographed last week at a demonstration dressed in fatigues , a black cap , and a bulky belt .	O O O B-org I-org I-org O O O O B-per O O O O O O O O O O O O O O O O O O O O O O O O
A Home Office spokesman told the Associated Press that if the behavior of a paroled offender gives cause for concern , he can be sent back to prison .	O B-org I-org O O O B-org I-org O O O O O O O O O O O O O O O O O O O O O
The AP also reports Khayam has been on parole from prison since last year after serving half his six-year sentence for drug dealing .	O B-org O O B-per O O O O O O O O O O O O O O O O O O O
Pakistani officials say unidentified gunmen have killed three people , including a former government minister , in a semi-autonomous tribal region bordering Afghanistan .	B-gpe O O O O O O O O O O O O O O O O O O O O O B-geo O
The officials say prominent tribal leader Malik Faridullah Khan was traveling in South Waziristan Sunday when his vehicle was ambushed in the Kani Wam area .	O O O O O O B-per I-per I-per O O O B-geo I-geo B-tim O O O O O O O B-geo I-geo O O
His driver and a tribal elder were also killed .	O O O O O O O O O O
No one has claimed responsibility for the killings .	O O O O O O O O O
The ambush came a day after a commander of Pakistani troops said the army has almost completely eliminated militants in South Waziristan .	O O O O O O O O O B-gpe O O O O O O O O O O B-geo I-geo O
The area became a refuge for many al-Qaida and Taleban fighters after the Taleban government was ousted in Afghanistan in 2001 .	O O O O O O O B-org O B-org O O O B-org O O O O B-geo O B-tim O
"A senior Pakistani military official says Pakistan wants to put what he calls the "" sordid chapter "" of proliferation by one of its top scientists behind it and build civilian nuclear ties with the United States ."	O O B-gpe O O O B-gpe O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-gpe I-gpe O
But he says Pakistan is not ready to make the nuclear scientist , Abdul Qadeer Khan , available for direct questioning over his sale of nuclear parts and secrets to states including Iran , Libya and North Korea .	O O O B-gpe O O O O O O O O O B-per I-per I-per O O O O O O O O O O O O O O O O B-gpe O B-gpe O B-gpe I-gpe O
He said there are reasons of national sensitivities for not making him available .	O O O O O O O O O O O O O O
The Pakistani official was giving a background briefing to a small group of reporters in Washington .	O B-gpe O O O O O O O O O O O O O B-geo O
Khan admitted in 2004 that he operated a worldwide clandestine network to sell nuclear technology in the black market .	B-per O O B-tim O O O O O O O O O O O O O O O O
He was placed under house arrest in Islamabad , but not jailed because he is considered the father of Pakistan 's nuclear bomb .	O O O O O O O B-geo O O O O O O O O O O O B-geo O O O O
U.S. Army officials said Wednesday that they will not renew a controversial multi-billion dollar contract with the Halliburton company to provide logistical support to U.S. troops in Iraq and elsewhere .	B-gpe B-org O O B-tim O O O O O O O O O O O O B-org O O O O O O B-gpe O O B-geo O O O
Halliburton has been providing a long list of services , from meals to communication , for the military for several years .	B-org O O O O O O O O O O O O O O O O O O O O O
Critics of Halliburton include auditors and congressional Democrats .	O O B-org O O O O O O
They say the company has produced some shoddy work and charges too much money .	O O O O O O O O O O O O O O O
The company strongly denies the allegations .	O O O O O O O
When the huge contract is put out for re-bidding , several companies will get a chance to compete for portions of the work .	O O O O O O O O O O O O O O O O O O O O O O O O
Representatives from the Asia Pacific Economic Cooperation Business Advisory Council are holding meetings this week to finalize their annual report for APEC leaders who will hold a summit on September 8 and 9 .	O O O B-org I-org I-org I-org I-org I-org I-org O O O O O O O O O O O B-org O O O O O O O B-tim I-tim O B-tim O
VOA 's Nancy-Amelia Collins reports from Sydney .	B-org O B-per I-per O O B-geo O
Energy , security , climate change , the World Trade Organization 's stalled negotiations , and investment are all expected to be among the major topics in the annual report of the APEC Business Advisory Council , known as ABAC .	O O O O O O O O B-org I-org I-org O O O O O O O O O O O O O O O O O O O O O B-org I-org I-org I-org O O O B-org O
Tim Harcourt , the chief economist of the Australian Trade Commission , says ABAC plays an important role by informing governments where there are problems .	B-per I-per O O O O O O B-org I-org I-org O O B-org O O O O O O O O O O O O
""" The most important thing the business groups can do is to tell the governments where there are logjams , where there are obstacles , where things can improve , "" Harcourt said ."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-per O O
""" I think actually ABAC has played a pretty good leadership on that in talking about trade facilitation and basically making sure standards are consistent and harmonious across the region . """	O O O O B-org O O O O O O O O O O O O O O O O O O O O O O O O O O O
ABAC comprises up to three members of the private sector of each of the 21 economies that make up APEC .	B-org O O O O O O O O O O O O O O O O O O B-org O
It meets three times a year .	O O O O O O O
It was made a permanent body in 1995 to provide an independent business perspective within APEC .	O O O O O O O B-tim O O O O O O O B-org O
Members represent a range of business sectors , including medium and small businesses .	O O O O O O O O O O O O O O
ABAC says there is a need for businesses to improve energy efficiency and to encourage conservation practices , and is expected to include this in its annual report .	B-org O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Harcourt , of the Australian Trade Commission , says the ABAC report will also discuss ways to enhance regional cooperation .	B-per O O O B-org I-org I-org O O O B-org O O O O O O O O O O
""" I reckon they 'll talk a little bit about customs and quarantine , a little bit about having consistent security arrangements around the region , "" Harcourt said ."	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-per O O
""" And I think they 'll want a one-stop shop in terms of combining security , immigration , customs , and quarantine together … just to make sure it 's more streamlined and provides more certainty . """	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ABAC is the only non-governmental body that has an official role and formal dialogue with the leaders of the APEC economies .	B-org O O O O O O O O O O O O O O O O O O B-org O O
It will present its annual report at the APEC leaders meeting on Saturday .	O O O O O O O O B-org O O O B-tim O
Sudan 's government says it will order troops to end attacks immediately in Darfur , and is asking rebels to do the same .	B-gpe O O O O O O O O O O O O B-geo O O O O O O O O O O
Foreign Minister Mustafa Osman Ismail says Sudanese troops will also withdraw to positions held before an April cease-fire , if rebels in the western region agree to stop attacks .	B-per I-per I-per I-per I-per O B-gpe O O O O O O O O O B-tim O O O O O O O O O O O O O
Mr. Ismail announced the decision after meeting with officials from the United Nations and African Union in Khartoum Sunday .	B-per I-per O O O O O O O O O B-org I-org O B-org I-org O B-geo B-tim O
In recent weeks , AU officials say Sudanese troops and rebels have repeatedly violated the April truce .	O O O O B-org O O B-gpe O O O O O O O B-tim O O
Saturday , the head of AU forces in Darfur accused Sudanese government helicopters of bombing rebel sites in the South Darfur village of Labado .	B-tim O O O O B-org O O B-geo O B-gpe O O O O O O O O B-geo I-geo O O B-geo O
Khartoum says troops were defending their positions from rebel attacks .	B-gpe O O O O O O O O O O
Aid workers say some relief efforts have been suspended in South Darfur due to recent attacks .	O O O O O O O O O O B-geo I-geo O O O O O
Indonesian police have arrested three men in connection with the October 1 Bali bombings that left 23 people dead .	B-gpe O O O O O O O O O B-tim I-tim B-geo O O O O O O O
Indonesian police said Wednesday the men were flown to Bali from neighboring Java island for questioning at Bali police headquarters .	B-gpe O O B-tim O O O O O B-geo O O B-geo O O O O B-geo O O O
Australian and French news agencies say at least one of the men arrested ( Cholily ) was captured during a series of counter-terrorism raids last week in Indonesia .	B-gpe O B-gpe O O O O O O O O O O O B-per O O O O O O O O O O O O B-geo O
The raids ended with the death of alleged extremist bombmaker Azahari bin Husin .	O O O O O O O O O O B-per I-per I-per O
Indonesian authorities blame Azahari bin Husin for orchestrating last month 's attacks in Bali as well as the 2002 Bali bombings that killed more than 200 people .	B-gpe O O B-per I-per I-per O O O O O O O B-geo O O O O B-tim B-geo O O O O O O O O
Gunmen have shot and killed a Roman Catholic nun and her bodyguard at the hospital where she worked in Islamist-controlled Mogadishu , Somalia .	O O O O O O B-org I-org O O O O O O O O O O O O B-geo O B-geo O
Some witnesses to the Sunday shooting said they feared the attack was linked to Muslim anger toward Pope Benedict .	O O O O B-tim O O O O O O O O O O O O B-per I-per O
Two men with pistols attacked the nun , Sister Leonella Sgorbati , after she finished teaching a medical school class at the hospital in southern Mogadishu .	O O O O O O O O B-per I-per I-per O O O O O O O O O O O O O O B-geo O
Officials say one suspect was arrested .	O O O O O O O
In Rome , a Vatican spokesman deplored the attack and said he hoped it was an isolated event , and not irrationality arising from comments made by the Pope which angered some Muslims .	O B-geo O O B-org O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Authorities in Mogadishu have not determined a motive for the shooting .	O O B-geo O O O O O O O O O
The pope has said he meant no offense to Muslims when he quoted a 14 century Byzantine emperor as saying some teachings of the Prophet Muhammed brought evil to the world .	O O O O O O O O O O O O O O O O B-per O O O O O O O B-per I-per O O O O O O
Pakistani forces have targeted militants in the northwest for a third day , launching airstrikes that they say killed at least nine suspected insurgents .	B-gpe O O O O O O O O O O O O O O O O O O O O O O O O
Helicopter gunships Saturday pounded militant hideouts in the Orakzai tribal region , where many Taliban militants are believed to have fled to avoid an earlier military offensive in nearby South Waziristan .	O O B-tim O O O O O B-geo O O O O O B-org O O O O O O O O O O O O O O B-geo I-geo O
The Pakistani military launched its offensive in Orakzai to hunt Taliban insurgents .	O B-gpe O O O O O B-geo O O B-org O O
So far , nearly 100 militants have been reported killed in the region since Thursday .	O O O O O O O O O O O O O O B-tim O
On Friday , five soldiers were killed when dozens of militants stormed a military checkpoint in Orakzai .	O B-tim O O O O O O O O O O O O O O B-geo O
At least 32 suspected militants were killed when troops launched a counter-attack .	O O O O O O O O O O O O O
Elsewhere in the northwest , authorities on Saturday found the bodies of six people who had been shot dead in the Kurram region along the Afghan border .	O O O O O O O B-tim O O O O O O O O O O O O O B-geo O O O B-gpe O O
The six were kidnapped a few days ago .	O O O O O O O O O
The U.S. military in Afghanistan says coalition forces killed 14 Taleban militants in separate clashes this week .	O B-org O O B-geo O O O O O B-org O O O O O O O
The military said Saturday 13 guerrillas were killed in two encounters in the central province of Uruzgan .	O O O B-tim O O O O O O O O O O O O B-geo O
One Afghan soldier was killed and four others , including a U.S. soldier , were injured in the fighting .	O B-gpe O O O O O O O O O B-gpe O O O O O O O O
Another militant was killed by U.S. troops in eastern Paktika province .	O O O O O B-gpe O O O B-geo O O
Separately , officials say four British soldiers from the NATO-led peacekeeping mission were wounded early Saturday in an attack in the northern city of Mazar-e-Sharif .	O O O O O B-gpe O O O O O O O O O B-tim O O O O O O O O B-geo O
It was not immediately clear what motivated the attack .	O O O O O O O O O O
Taleban rebels are not known to operate in northern Afghanistan and the area has been spared much of the bloodshed that has plagued southern and eastern regions .	B-org O O O O O O O O B-geo O O O O O O O O O O O O O O O O O O
Russian officials say at least five more people have died from a wave of extremely cold weather gripping the nation , bringing the death toll to 43 in the past week .	B-gpe O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Emergency medical officials say the five victims died in Moscow from exposure , and another 19 people are hospitalized with hypothermia .	O O O O O O O O O B-geo O O O O O O O O O O O O
Russia 's Itar-Tass news agency quotes a medical official as saying some of the victims were intoxicated or homeless .	B-geo O B-org O O O O O O O O O O O O O O O O O
The unusually cold weather is affecting Russia , the Baltic states of Lithuania , Latvia and Estonia , and is moving into the Nordic countries .	O O O O O O B-geo O O B-geo I-geo O B-geo O B-geo O B-geo O O O O O O O O O
The death toll is expected to rise as temperatures continue to hover around minus 30 degrees Celsius or lower overnight .	O O O O O O O O O O O O O O O O O O O O O
Emergency power rationing has been put into effect around Moscow .	O O O O O O O O O B-geo O
Health officials in Vietnam say a deadly strain of the bird flu virus has killed a second Vietnamese man this week , raising the country 's death toll from the virus to 50 .	O O O B-geo O O O O O O O O O O O O O B-gpe O O O O O O O O O O O O O O O O
Officials say the 27-year old man from Vietnam 's northern Ninh Binh province died late Thursday and tested positive for the H5N1 strain of bird flu .	O O O O O O O B-geo O O B-gpe I-gpe O O O B-tim O O O O O B-nat O O O O O
Officials say the man fell ill after slaughtering two chickens at his home .	O O O O O O O O O O O O O O
He is the third person to die from avian influenza in Vietnam this year .	O O O O O O O O O O O B-geo O O O
Not counting the latest death , the World Health Organization says 227 people around the world have died from bird flu since 2003 .	O O O O O O O B-org I-org I-org O O O O O O O O O O O O B-tim O
Most of the world 's cases , 103 , have occurred in Indonesia .	O O O O O O O O O O O O B-geo O
Witnesses in Somalia say insurgents have burned and dragged the bodies of at least two soldiers through the streets of Mogadishu , after a clash between militants and Ethiopian forces killed seven people .	O O B-geo O O O O O O O O O O O O O O O O O B-geo O O O O O O O B-gpe O O O O O
The violence erupted Wednesday after insurgents attacked Ethiopian tanks rolling through an insurgent stronghold near the headquarters of the former Defense Ministry in southern Mogadishu .	O O O B-tim O O O B-gpe O O O O O O O O O O O O B-org I-org O O B-geo O
Witnesses say the Ethiopian troops returned heavy fire and that several people were wounded in the fighting .	O O O B-gpe O O O O O O O O O O O O O O
Ethiopia deployed soldiers to Somalia last December to help the interim government push an Islamist movement from power .	B-gpe O O O B-geo O B-tim O O O O O O O O O O O O
Somalia 's internationally-recognized government has since been struggling to contain regular outbursts of violence by fighters loyal to the fallen Islamist movement .	B-gpe O O O O O O O O O O O O O O O O O O O B-org O O
The African Union has deployed troops to Somalia to replace the Ethiopian forces , which Addis Ababa plans to withdraw .	O B-org I-org O O O O B-geo O O O B-gpe O O O B-gpe I-gpe O O O O
Top Palestinian negotiator Ahmed Qureia says Israeli and Palestinian mediators have agreed to prepare a document outlining their progress toward a peace accord .	O B-gpe O B-per I-per O B-gpe O B-gpe O O O O O O O O O O O O O O O
In remarks to reporters , Qureia said the two sides agreed during recent meetings to begin writing out their positions on all issues discussed during peace negotiations .	O O O O O B-per O O O O O O O O O O O O O O O O O O O O O O
He did not elaborate on why negotiators had come to the decision .	O O O O O O O O O O O O O
Israeli Prime Minister Ehud Olmert and Palestinian President Mahmoud Abbas resumed U.S.-brokered peace talks last November , but progress has been slow .	B-gpe B-per I-per I-per I-per O B-gpe B-per I-per I-per O O O O O B-tim O O O O O O O
The two sides have expressed hope at reaching a peace deal before U.S. President George Bush leaves office early next year .	O O O O O O O O O O O O B-gpe B-per I-per I-per O O O O O O
"But Qureia said Wednesday that reaching a peace agreement with Israel before Mr. Bush leaves office will take a "" miracle . """	O B-per O B-tim O O O O O O B-geo O B-per I-per O O O O O O O O O
He told reporters in the West Bank that there is still room for progress in Israeli-Palestinian negotiations .	O O O O O B-geo I-geo O O O O O O O O O O O
The Israeli military says Major General Udi Adam - the head of the army 's Northern Command - has announced his resignation .	O B-gpe O O B-per I-per I-per I-per O O O O O O O B-org I-org O O O O O O
"A military statement Wednesday , said General Adam has asked to leave his post "" as soon as possible , "" and the chief of staff has accepted the request to begin the process of his replacement ."	O O O B-tim O O B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Adam was widely expected to leave the army after he was pushed aside near the end of the 34-day war against Hezbollah guerrillas in Lebanon .	B-per O O O O O O O O O O O O O O O O O O O O B-org O O B-geo O
"He was replaced by another general as "" coordinator of operations in Lebanon . """	O O O O O O O O O O O O B-geo O O
Israeli media say Adam had several disagreements with the army chief , Lieutenant General Dan Halutz , over the conduct of the war .	B-gpe O O B-per O O O O O O O O B-per I-per I-per I-per O O O O O O O O
A Washington-based research institute says Pakistan is building a nuclear reactor that could produce enough plutonium for 40 to 50 nuclear weapons a year .	O O O O O B-gpe O O O O O O O O O O O O O O O O O O O
The Institute for Science and International Security reports that satellite photos show a possible construction site for a larger nuclear reactor near the small one in the Khushab district of Punjab province .	O B-org I-org I-org I-org I-org I-org O O O O O O O O O O O O O O O O O O O O B-geo O O B-geo O O
The report says such a reactor could produce over 200 kilograms of weapons-grade plutonium , good for 40 to 50 nuclear weapons a year .	O O O O O O O O O O O O O O O O O O O O O O O O O
According to some media reports , Pakistan is now capable of producing plutonium for just two warheads a year .	O O O O O O B-gpe O O O O O O O O O O O O O
Pakistan 's Foreign Ministry spokeswoman Tasnim Aslam declined to say whether a new reactor is being constructed , but she said the presence of a nuclear weapons program and facilities at Khushab are well known .	B-geo O B-org I-org O B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O B-geo O O O O
The American Diabetes Association reports the disease is the leading cause of new cases of blindness among adults .	O B-org I-org I-org O O O O O O O O O O O O O O O
It is the leading cause of kidney failure .	O O O O O O O O O
The rate of amputation is 10 times higher among those who suffer from the disease .	O O O O O O O O O O O O O O O O
Experts say those who learn how to manage the disease early , can live healthier and more normal lives .	O O O O O O O O O O O O O O O O O O O O
VOA 's June Soh found camps that provide children with this chronic disease a positive approach to living with diabetes while letting them just be kids .	B-org O B-per I-per O O O O O O O O O O O O O O O O O O O O O O O
Amy Katz Narrates .	B-per I-per O O
Cuba and Panama have said they will restore consular relations , months after Havana broke ties with Panama City for pardoning four men convicted in connection with an assassination attempt against Cuban President Fidel Castro .	B-gpe O B-gpe O O O O O O O O O O B-gpe O O O B-gpe I-gpe O O O O O O O O O O O O B-gpe B-per I-per I-per O
The countries agreed to reopen their consulates , following a meeting Friday between Panamanian President Martin Torrijos and Cuban Vice President Carlos Lage .	O O O O O O O O O O O B-tim O B-gpe B-per I-per I-per O B-gpe B-per I-per I-per I-per O
The meeting took place on the sidelines of the Ibero-American Summit in San Jose , Costa Rica , where heads of state were meeting to discuss a candidate to head the Organization of American States and other regional issues .	O O O O O O O O O O O O B-geo I-geo O B-geo I-geo O O O O O O O O O O O O O O B-org I-org I-org I-org O O O O O
Cuba severed ties with Panama in August , hours after Panamanian President Mireya Moscoso , in her final days in office , pardoned the men , preventing their extradition to Cuba .	B-gpe O O O B-gpe O B-tim O O O B-gpe B-per I-per I-per O O O O O O O O O O O O O O O O B-geo O
They were convicted of plotting to kill Mr. Castro during the 2000 Ibero-American summit in Panama City .	O O O O O O O B-per I-per O O B-tim O O O B-geo I-geo O
The Israeli army has killed a Palestinian youth in the northern Gaza Strip and wounded at least three other people .	O B-gpe O O O O B-gpe O O O O B-geo I-geo O O O O O O O O
The army says it targeted a man who was collecting a rocket launcher from an area used to fire rockets at Israel recently .	O O O O O O O O O O O O O O O O O O O O O B-geo O O
Palestinian medical sources say the Israeli strike killed a teenager .	B-gpe O O O O B-gpe O O O O O
The Israeli military began an offensive in Gaza after militants kidnapped an Israeli soldier in June .	O B-gpe O O O O O B-geo O O O O B-gpe O O B-tim O
More than 200 Palestinians have been killed in the offensive .	O O O B-gpe O O O O O O O
On Sunday , Palestinian Prime Minister Ismail Haniyeh said his Hamas-led government will not recognize Israel .	O B-tim O B-gpe B-per I-per I-per I-per O O O O O O O B-gpe O
He said an Arab peace plan for the region is problematic because it requires Palestinians to recognize Israel in exchange for an Israeli pullout from Palestinian territories .	O O O B-gpe O O O O O O O O O O B-gpe O O B-gpe O O O O B-gpe O O B-gpe O O
He spoke after a week of deadly political infighting between Hamas and the rival Fatah party of President Mahmoud Abbas .	O O O O O O O O O O B-org O O O B-org O O B-per I-per I-per O
U.S. automaker Chrysler has opened a $ 570 million engine plant in northern Mexico .	B-geo O B-org O O O O O O O O O O B-geo O
During the ceremonial startup of the Saltillo plant Friday , Mexican President Felipe Calderon said Chrysler 's sixth plant in Mexico will create 700 jobs .	O O O O O O B-art O B-tim O B-gpe B-per I-per I-per O B-org O O O O B-geo O O O O O
Mr. Calderon said Mexico has become a worldwide leader in the auto industry .	B-per I-per O B-gpe O O O O O O O O O O
Chrysler plans to build its new fuel-efficient Pentastar V-6 engine for Chrysler , Dodge , Jeep and Ram vehicles .	B-org O O O O O O B-art I-art O O B-art O B-art O B-art O B-art O O
Mexican officials say the new plant will have the capacity to build 4,40,000 engines per year .	B-gpe O O O O O O O O O O O O O O O O
A U.S. jury has found that drug maker Merck is not liable for the heart attack suffered by a man taking its painkiller Vioxx .	O B-geo O O O O O O B-org O O O O O O O O O O O O O O B-art O
The New Jersey jurists agreed with Merck that job stress and health risks caused the 60-year old postal worker to have a heart attack four years ago .	O B-geo I-geo O O O B-org O O O O O O O O O O O O O O O O O O O O O
The plaintiff argued Vioxx was responsible .	O O O B-org O O O
The jury also rejected the man 's claim that Merck failed to properly warn users about the drug 's risks .	O O O O O O O O O B-org O O O O O O O O O O O
Merck withdrew the popular drug last year after a study showed it doubled the risk of heart problems in long-term users .	B-org O O O O O O O O O O O O O O O O O O O O O
Merck is facing thousands of other lawsuits over Vioxx .	B-org O O O O O O O B-art O
Thursday 's verdict is only the second in a Vioxx case .	B-tim O O O O O O O O B-art O O
In the first , Merck was ordered to pay millions of dollars to the widow of a Vioxx user .	O O O O B-org O O O O O O O O O O O O B-art O O
Merck is appealing that decision .	B-org O O O O O
The rumors are TRUE : Nicole Ritchie is pregnant .	O O O O O B-per I-per O O O
Speaking to ABC News interviewer Dianne Sawyer , the 25-year-old co-star of TV 's The Simple Life said she is almost four months along in her pregnancy .	O O B-org I-org O B-per I-per O O O O O O O B-art I-art I-art O O O O O O O O O O O
She said the father is her boyfriend , Joel Madden of the rock band Good Charlotte .	O O O O O O O O B-per I-per O O O O B-org I-org O
Ritchie also spoke about her guilty plea last week to driving under the influence and the resulting four-day jail sentence .	B-per O O O O O O O O O O O O O O O O O O O O
""" I have a responsibility and it 's something that I did wrong , and if I could personally apologize to every single person that has lost a loved one from drunk driving , I would , "" she said ."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
""" And unfortunately I ca n't , but this is my way of paying my dues and taking responsibility and being an adult . """	O O O O O O O O O O O O O O O O O O O O O O O O O
The interview airs August 2 and 3 on Good Morning America , and later August 3 on 20/20 .	O O O B-tim I-tim O B-tim O B-art I-art I-art O O O B-tim I-tim O B-art O
