labels	text
O O O O O O O B-org O B-gpe O O	There were no casualties reported among the NATO and Afghan troops .
O B-org I-org O O O O O O O O O O O	The Muslim Brotherhood and other groups have urged a boycott of the vote .
O O O B-tim O B-gpe O O O O O B-tim O O O O O O O O O O O O O O O O O O O O O O O	A statement issued Sunday says Iraqi police detained a suicide bomber Friday , before he could detonate two tons of explosives aboard his truck that was also loaded with nearly 20,000 liters of chlorine .
O B-gpe O O O O O O O O O O O O O O O O O O	A British officer said the military would not release any details about the crew until families had been contacted .
O O O O O O O O O O O O O O O	He also called for expanding health insurance coverage and making college education more affordable .
O O O O O O O O O O B-geo O O O O B-geo O	The tsunami is also blamed for killing two people in Seychelles and one tourist in Kenya .
O O B-gpe O O O O O O O O O O O O O O O O O O O O O B-per B-tim O	However , Kenyan anti-corruption activists say they will post the names and pictures of the accused officials in public places to maintain pressure on Mr. Kibaki .
O O O O O B-art I-art I-art O O O O O O O O O O O O O O O O O B-tim O O O O	"It is called the "" Tree City USA "" program , and it recognizes communities that preserve , protect , and defend their trees every day of the year ."
O O O O O O O O O O B-geo O O O O B-tim O B-geo O	The grass court tournament is a key warm-up for the Wimbledon championships , which start Monday in London .
B-per I-per O O O O O O O B-per I-per O O O O O O O B-geo O O O O O O O	President Bush has again defended his defense secretary , Donald Rumsfeld , saying the secretary cares deeply about U.S. troops and the grief war causes .
O O O O O O O O B-tim O	The date was set in a Cabinet meeting Tuesday .
B-geo O O O O O B-gpe O O O O B-gpe B-tim I-tim O O B-org I-org B-tim O	Israel suspended its diplomacy after a Palestinian suicide bombing killed five Israelis February 25 in a Tel Aviv nightclub .
B-org I-org O O B-gpe O O O O O O O O B-geo I-geo O	General Musharraf met the Kashmiri separatist leaders last month during his visit to New Delhi .
B-geo O B-geo O B-geo I-geo O O O O O O O O O O O B-org I-org O	Egypt , Nigeria and South Africa have said they are interested in representing the continent at the Security Council .
B-gpe O O O O B-gpe O O O O O O O B-geo I-geo O	Israeli forces have killed three Palestinians in a pair of operations in the Gaza Strip .
O O O O O O O O O O O O O	If it never returns , it was never yours to begin with .
O O O O O O O O O O O O O O O B-geo O O B-org I-org I-org O O O O	But she warned that if talks fail , there is strong international support to refer Iran to the U.N. Security Council for possible sanctions .
B-per I-per O O O O O O O O O O O O B-tim I-tim O O O O O B-per I-per O	Mr. Sharif also said the government has done nothing to improve security after the December 27 assassination of former prime minister Benazir Bhutto .
O O O O O O O B-org I-org O O O O O O O O O O O O O O	There has been no comment from the White House , but as a rule the administration does not comment on intelligence matters .
B-per O O O O O O O O O B-geo O	Rumsfeld has been under mounting criticism over the war in Iraq .
B-gpe O O O O O O O O O O O O O	Israeli police say the bomber was spotted and prevented from entering the club .
O O O O O O O B-gpe O B-gpe O O O B-geo O O O O O O O O O O O	Each year , tens of thousands of Somalis and Ethiopians try to reach Yemen in hopes of escaping poverty or conflict in their homelands .
O O O O O O O O O O O O O O O O O O	The proceedings got underway about a week after gunmen shot and killed a witness in the case .
O O O O O B-geo O O B-geo O O B-org B-per I-per I-per O O O O O O O O	A grand jury in the U.S. state of Texas has indicted U.S. Congressman Tom DeLay on charges of money laundering and conspiracy .
O B-tim O B-per O O O O O O O O O O O O O	Resuming Sunday , Ljubicic won the first set 06-Mar , before dropping the second set 03-Jun .
O B-org I-org I-org I-org I-org O O O O O O B-per I-per O O O O O O O O O O	The International Criminal Tribunal for Rwanda accepted a plea bargain in which Paul Bisengimina pled guilty to two counts of murder and extermination .
O O O O B-geo B-tim O O O O O O O O B-per I-per I-per O O O O	Pro-democracy supporters protested across Egypt Wednesday to demand political reforms and an end to President Hosni Mubarak 's decades-long rule .
B-org O O O O O O O O O O O O O B-tim I-tim O O O	GlaxoSmithKline said it could be ready to submit the vaccine to regulators by the end of this year .
O O O O O B-tim O B-per I-per O O O O O B-geo O B-per I-per I-per O B-art I-art O O O O	In his weekly radio address Saturday , Mr. Bush talked about his meeting with Afghanistan 's President Hamid Karzai at Camp David earlier this week .
B-org O O O O O O B-geo O B-tim I-tim O O O O O O O	OPEC officials are scheduled to gather in Iran on March 16 to discuss oil supplies and prices .
O B-org O O O O O O O O O B-geo O	The U.N. says 3,000 children a day die of malaria in Africa .
O B-tim O B-org O O O O O O O B-geo O O B-org O O O O O	In 1994 , Zapatista rebels staged an armed rebellion in the Chiapas state of Mexico , asserting indigenous rights .
B-geo O O O O O O O O O O O O O B-tim O O O O O O	City officials took the measure after gangs set fire to at least six buses Thursday , burning seven people alive .
O O O O O B-geo O O O O O O	There were no reports of Islamist fighters dying in the gunbattles .
O O O O O B-gpe O O O O O O	He said such behavior by German soldiers will not be tolerated .
O O O O O O B-geo O O O O O O O O O O O O O B-tim O	An uneasy calm has settled over Nigeria , where more than 120 people have been killed in Muslim-Christian violence since Saturday .
O O B-org O B-org I-org O B-geo O O O O O O O O O O O O O O O B-tim O	The international Committee to Protect Journalists says Iraq has become the world 's most dangerous country for journalists since the U.S.-led invasion in 2003 .
O O O B-geo O B-geo O O O B-tim O O B-org I-org I-org I-org O O O O O O O O B-org I-org I-org O	The governments in Caracas and Havana sent a letter Wednesday to the U.N. 's Counter-Terrorism Committee , urging it to examine the release of Luis Posada Carriles .
B-org O O O O O O B-geo O B-geo I-geo O O O O O	Gotovina was arrested a year ago on Spain 's Canary Islands and remains in custody .
O O O O O O O O O O O O O B-tim I-tim O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Real GDP rebounded to grow by an average 8.5 % annually over the subsequent six years , taking advantage of previously idled industrial capacity and labor , an audacious debt restructuring and reduced debt burden , excellent international financial conditions , and expansionary monetary and fiscal policies .
O O O O O O O B-tim O O O O O B-geo O O O B-gpe O O	The reports say the soldiers were killed Tuesday in the southeastern province of Sirnak , near the Iraqi border .
O O O O O O B-org O O O O O O O O	These include the divided island of Cyprus , which joined the bloc last year .
O O O O O O O O O O O O O O O O O B-gpe O O B-tim O	Visited only occasionally by seal hunters and trappers over the following centuries , the island came under Norwegian sovereignty in 1929 .
O O O O O B-geo O O O B-gpe O O O B-tim O O O O O O O O O B-geo O	In another development , the U.S. military says an American soldier was killed Thursday by small arms fire in the northern city of Mosul .
O O O O O O O B-org I-org I-org O O O O	The reports said the junta blamed the Karen National Union for the blast .
O O O O O O O O O O O O O O O O O O O O O O	In its ruling , the high court said the firing was suspended pending judicial review , which will be scheduled later .
O B-org O O O O O O O O B-nat I-nat O O O O O O O O O O O	The Xinhua news agency reports that enough vaccine to treat Streptococcus suis bacteria in 3,50,000 pigs has been flown to the province .
O O O O O B-tim O	They will return home on Saturday .
B-org I-org I-org I-org O B-tim O O O O O O O O O O O O O O O O O O O O	The Saudi Press Agency reports Tuesday that the birds tested positive for the H5N1 strain of bird flu , which can be deadly to humans .
O B-tim O B-per O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	In April , Venezuela said it planned to sell $ 3 billion worth of government bonds on local markets , in a bid to slow inflation and strengthen the currency , known as the strong bolivar .
O O O O O O O O O B-tim O O B-org I-org I-org I-org I-org I-org B-tim O B-tim O O O O O O O O O O O O O O O O O O O O O O O	Industrialized nations at meetings of the G7 nations on Friday and the International Monetary Fund and World Bank Saturday and Sunday failed to agree on a strategy for reducing the heavy burden of debt faced by some of the world 's poorest nations .
O O O O O O O O O O	Wildlife has also been threatened as the glades shrink .
O O O O B-geo O B-tim O O O O O O O O O O O O O O O O O O B-geo O	An embassy spokeswoman says U.S. officials Wednesday ended the emergency closure of the embassy as well as a consular office in the eastern port of Dhahran .
O B-gpe O O B-per I-per O O O B-gpe O O O B-tim O	A Spanish judge , Fernando Andreu , ordered the Somali men released on Friday .
B-gpe O B-per I-per O O O B-geo O O O O O O O O O O O O B-gpe O O	Palestinian militant Marwan Barghouti , imprisoned in Israel , has reversed himself and decided to seek the presidency of the Palestinian Authority .
O O O O O O O B-tim I-tim O O O O O O O O B-geo I-geo O	The extremist group was forced from power almost five years ago in an offensive led by the United States .
B-geo I-geo O O O B-gpe O O O O O O B-tim O O O B-geo I-geo O O O O O O O O O O O O O O O O O O	North Korea released a South Korean fishing boat and its seven-man crew Tuesday , after asking South Korea for a shipment of rice , cement and heavy equipment to help it recover from recent flooding .
O O O O O O O O O O O O O B-geo I-geo O B-tim O	The price of oil for future delivery hit $ 76.4 a barrel in New York trading Thursday .
O O O O O O O O O O O O O O	Authorities have dismissed the possibility that she had been kidnapped by communist guerrillas .
O O O O O O O O O O O O O O O O O O O O	A MAN had two daughters , the one married to a gardener , and the other to a tile-maker .
B-per I-per O B-geo I-geo O B-tim O O O O O O B-gpe O O O O O O O B-geo O O O O O O	Mr. Aristide told South African television Tuesday , he is in talks with Haitian officials about his return , now that Haiti has elected a new president .
B-gpe O O O O O O O O O O O O O O O	Israeli military officials said the target of the attack was a senior Islamic Jihad member .
O O O O O B-geo O O O O	He spoke after talks in Belfast with the monitors .
O O O O O O O B-tim I-tim O O O O O O O	The pro-Syrian politician first stepped down on February 28 following a wave of anti-Syrian demonstrations .
B-org I-org O O O O O O O O O O O O O O O O O O O O O	Air Force officials say the cause of the crash is being investigated but that it is unlikely the jet was shot down .
O O O O O O O O O O O O O O O O O O B-geo O B-tim O O O O O O O O O O O O O O	The trial of scores of soldiers and a dozen civilians accused of plotting a series of coups in Mauritania resumed Tuesday , despite a boycott by defense lawyers protesting the arrest of a colleague .
O O O O O O O O O O O O O O O B-org I-org I-org O O O O O O O O O O O O O O O B-tim O O O B-geo O	The message , posted on an Islamist web site , says it speaks for the Abu-Hafs al-Masri Brigades , one of two groups whose signature appeared on statements claiming responsibility for the deadly July seventh bombings in London .
B-org O O O O O O O B-geo O B-tim I-tim O	Pyongyang has banned all ships from traveling near Chodo until October 15 .
O O O O B-gpe O O B-org I-org O O O B-tim I-tim O O O O O O O O O O O O O	An easing of some Israeli restrictions on West Bank movement and access since 2008 also has contributed to an uptick in retail activity in larger cities .
O O O O O O O O O B-tim O O O O O O O O O O O O O B-tim I-tim I-tim O	That is three-tenths of a percent better than economists first thought , and a bit better than the growth rate for the last quarter of 2007 .
O O O B-org I-org O O O O O O O O O O O O O O O O O O O B-geo O O	Members of the U.S. Senate are demanding that oil companies take steps to bring down high gasoline and heating oil prices being paid by U.S. consumers .
O O B-geo O O O O O O O O O O O O O O O O B-tim O	Elsewhere in Iraq , authorities say at least six people were wounded in a car bombing in the capital Sunday .
O O O B-gpe O O O O O O O O O O O O O O O B-geo O O O O O O O O O O O	Leaders for the Iraqi Consensus Front said the preliminary totals did not match those recorded by party monitors in Baghdad province , and warned they may call for a re-vote .
O O O O O O B-geo O O O O O O	The doctors who treated him in Austria said he suffered dioxin poisoning .
B-org O B-org I-org O B-tim O O O O O O O B-tim I-tim I-tim I-tim O O O O O O O	Germany 's Constitutional Court ruled Tuesday that the general threat of terror since September 11 , 2001 , does not warrant random profiling .
O O O O O O O O O B-tim O	An insurgency led by Maoist extremists broke out in 1996 .
O B-geo O O O O O O O O O O O O O O O O O B-geo O O B-gpe O	"But U.S. officials have said the plan is at odds with the U.S.-backed "" roadmap "" for peace between Israel and the Palestinians ."
O O O O O O O O O O O O O O O O O O B-org I-org I-org B-tim O O O O O O O O O O	The leader of a Saudi Arabian opposition group is calling on protesters to take to the streets of Riyadh and Jeddah Thursday in a peaceful call for the monarchy 's removal .
O B-geo I-geo O O O B-tim O O O O O O O O O O O B-geo B-tim I-tim O	The United States will host a two-day international conference on the avian ( bird ) flu virus in Washington beginning Thursday .
B-org O O O O O O O O O O O O O O O O O O O O O O O O O O	Lieberman issued a report earlier this year warning that the Internet plays a key role in recruiting and training terrorists , and in planning terror attacks .
O O O O B-tim O O O O O O B-geo O O O B-geo O	The peacekeepers were abducted Sunday in the town of Tine near Sudan 's border with Chad .
O O O O O O B-gpe O O O O	It is the second postponement for Niger 's presidential election .
O B-geo O O O O O O O O O O O O O O O O O O O O O B-geo O O O O O O O O	The U.S. military said 15 of its troops were injured and one died in fighting after rebels detonated a car bomb outside a U.S. outpost and opened fire on arriving soldiers .
O O O O O O B-org O O B-per I-per O O O O O O O O O O B-geo O	The operation targeted insurgents linked to Taliban militant leader Siraj Haqqani , who is accused of carrying out many attacks in Afghanistan .
O O O O O O O O O O O O O O O O O O O O O B-org O O O O O O O O	Officials said the bodies had been buried for years and that the remains - mostly bones - would be sent for DNA testing in an effort to identify them .
B-gpe I-gpe O O O O O O O O O O O O O O O O B-org O O O O O O O B-tim I-tim I-tim O O O O O O O O O O O O O O O	North Korea 's history of regional military provocations , proliferation of military-related items , long-range missile development , WMD programs including tests of nuclear devices in 2006 and 2009 , and massive conventional armed forces are of major concern to the international community .
O O O O O O O O O O O O O O O O O O O O O O O O	He says the riots started in block two of the prison , which houses more than 13 hundred of facility 's 2,000 inmates .
O O O O O O O O O O O O O O O O O O O O O O O O O O O	"He expressed a special closeness to what he called the "" defenseless civilian populations unjustly hit in a conflict in which they are only victims . """
O O O O B-per I-per I-per O O B-tim O B-geo O B-org I-org I-org I-org O O O O O O O O O O O O O O O O O O O O O O O	"A foreign ministry spokesman Hamid Reza Asefi told reporters Sunday in Tehran that International Atomic Energy Agency inspectors would only take samples from so-called "" green areas "" at the military site , and not from inside the installation ."
O O O O O O O O O O O O O O O O O O O	A spokeswoman said the three should have represented him in his appeal as well as in his defense .
O B-org I-org I-org O B-tim O B-tim I-tim O O O O O O O O O O O O O B-art I-art I-art O	The United States Government , Wednesday [ May 14 ] officially added polar bears to the list of threatened animals under the Endangered Species Act .
O O O O O O O O O B-geo O O O O O O O O O	He said any military action would be based on Israel 's right to provide security to its people .
O O B-org B-gpe O O O O O O O O O O O O O O B-geo O	Meanwhile , South Koreans nationwide celebrated the victory of their team in their opening World Cup game against Greece .
O O O O O O O O O O O O O B-geo O O O B-tim O	The stores and charities , located in an around the southern town of Hebron , were closed Friday .
O O O B-per I-per O O O O O B-geo O O B-org I-org O O B-tim O	Unknown militants kidnapped Mrs. Hassan , the director of the Baghdad office of Care International , in October .
O O O O O O O O O O O B-tim O O O O O B-tim O O O	But opposition groups are saying that the country is worse off today than when it gained independence 25 years ago .
B-org O O O O O B-tim O O O O O O O O O O O B-geo O O	OAS diplomats recessed for consultations earlier Monday after the first three rounds of voting at the organization 's Washington headquarters .
O O O O O O B-tim O O O O O O O B-geo O B-geo I-geo O O	The large-scale military operation began early Saturday , concentrated on the farming community of Marjah in southern Helmand province .
B-org I-org B-per O O O O O O O O O O O O B-geo O	Abu Musab al-Zarqawi has claimed responsibility for numerous car bombings , kidnappings and beheadings in Iraq .
O O O O O O B-tim O O O O O O O O O O	The six employees were abducted on Wednesday while traveling by boat to an offshore oil field .
O O O O O O O	He claims the sex was consensual .
B-geo O O O O B-per I-per I-per I-per O O O O O O O O O O O O O B-org I-org I-org I-org O O O O O O O	Bahrain 's foreign minister , Khalid bin Ahmed al-Khalifa , told the opening session that a new and effective mechanism from the United Nations Security Council is needed to re-launch the process .
B-gpe O O O O O O O B-gpe O O B-geo O B-geo O B-geo O O B-geo O	Italian police led the operation , arresting 41 Bulgarian nationals in Italy , Bulgaria , Austria , and Germany .
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	The Nightingale , about to lose his life , earnestly begged the Hawk to let him go , saying that he was not big enough to satisfy the hunger of a Hawk who , if he wanted food , ought to pursue the larger birds .
O B-gpe B-org I-org O B-tim O O O O O O B-org O O O O O O O O O B-tim O O B-per I-per I-per O	A Palestinian Interior Ministry spokesman Saturday , said the groups , including Hamas , agreed to stop the attacks after meeting late Thursday with Interior Minister Nasser Youssef .
O O O O O O O O O B-tim O O B-org O O O O O O O B-geo O O	And the alliance says eight coalition members were injured Thursday after a NATO helicopter made a hard landing in southern Kandahar province .
O O O O O O O O O O O O O	Some of the migrants reached shore , but others are still missing .
O B-org I-org O O B-geo O O O O B-geo O O O O O O O O O O O O O O O O	A General Electric subsidiary in Brazil that provides maintenance to Brazil 's financially-troubled Vasp airline , is asking a local court to declare the carrier bankrupt .
O O B-geo I-geo O O O O O O O O B-tim O O O O O O B-nat I-nat O B-nat O	Thousands of New Orleans residents are returning to their homes and businesses Friday , as clean-up efforts continue after Hurricanes Katrina and Rita .
O O O O O O O O O O O B-tim O O O O O O O O O B-tim O O O O B-geo O	The possible links surfaced after two militant groups claiming credit for Saturday 's attack said they also carried out bombings last October near a resort in Taba .
B-geo O O O O O B-geo I-geo O O O O O O O	China built a military installation on Woody Island with an airfield and artificial harbor .
B-per B-org O B-org O B-tim I-tim O O O O O O O O O O O	Mr. Akayev fled Kyrgyzstan on March 24 after protesters stormed his office and the opposition seized power .
B-per I-per O O O B-geo I-geo O O O O O O O O O O O O O O O O O O	President Chavez has accused the United States of backing attempts to oust him , including a 2002 coup which briefly removed him from power .
O O O O O B-gpe O O O O O O O O O O O O O O O O	Earlier this week , the U.S. central bank decided to maintain a key interest rate , despite the risk of inflation .
B-gpe O B-per I-per I-per O O O B-tim O O O O O O B-org B-geo I-geo I-geo O O O O O O B-gpe O O O O O O O O O B-geo O	Brazilian Foreign Minister Celso Amorim made the comments Thursday in response to published reports that Hamas - the Islamic group that won last month 's Palestinian elections - would seek financial and political support from Brazil .
O B-per O O O O O O O O O O O O O O O O O O B-geo O O B-geo O O B-gpe O O B-geo I-geo O	As Ophelia continues to weaken and move northward , tropical storm watches are in effect for parts of the northeastern U.S. state of Massachusetts and the Canadian province of Nova Scotia .
B-geo O O O O O O O O O O B-geo O O O O O B-tim O	Australia says it will end its military 's humanitarian mission in Indonesia 's tsunami-ravaged Aceh province on Friday .
O B-org I-org O B-tim O O O O O O O O O O O O O O O B-per B-geo O O O O O	The Supreme Court on Wednesday threw out a decree that offered amnesty protection to more than 8,000 people , including Mr. Zardari and his top allies .
O O O O O O O O O O O B-tim O O O	The popular 51-year-old mayor leads public opinion polls ahead of the 2006 presidential race .
O B-gpe O O O O O O O O O O O O O O O O O O O	Self-sufficient Gibraltar benefits from an extensive shipping trade , offshore banking , and its position as an international conference center .
O B-org I-org B-gpe B-org O B-org O O O O O O O O O O O O	The Federation of Nepalese Journalists ( FNJ ) says at least 13 journalists have been detained since then .
O O O B-tim O O O O O B-gpe O O B-tim O O O O O O B-geo O	Over the last two years , at least 2,00,000 Sudanese refugees from Darfur have fled across the border into Chad .
O O O B-per I-per O O O O O O O O O	Top influenza official Margaret Chan said the outbreak in poultry is historically unprecedented .
B-per I-per O O O O O O O O O O B-tim O	Mr. Thaksin and his government are expected to be sworn in on Monday .
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	It could be someone who has suffered a traumatic injury , in an accident or a war , or someone who needs a transfusion to help survive an illness .
O O O O O O O O O O O O O O O O O O O O	Analysts say the missile has an effective range of 10,000 kilometers and can carry a more than one-ton payload .
B-org I-org I-org I-org O O O O O O O O O O O O O O O O O O O B-org I-org I-org O	Zimbabwe 's High Court has ruled that 64 suspected mercenaries may appeal their jail terms on convictions related to a coup plot in oil-rich Equatorial Guinea .
O O O O O O O O B-geo O B-per I-per O	Demonstrators also have taken to the streets in Venezuela and El Salvador .
O O B-geo O O O O O O O O B-geo O O O	He said U.S. factories do not have the capacity to meet Baghdad 's requirements .
O O O O O B-tim I-tim O O O O O O O O O O O O O O B-geo O O O O O O O O O O B-geo O O	The officials say that on July 31 , the rebels took away more than 150 women from four villages in the Bajura district , and 70 people from several villages in neighboring Accham district .
O O O O O O O O O O O B-tim O O O O O O O O O O	Witnesses say several militants took up positions outside the police station Friday and began shooting , prompting police to return fire .
B-gpe I-gpe O B-gpe O B-gpe O B-gpe O O O O O B-gpe I-gpe O O O O O O	South Korea , China , Russia and Japan have also been calling on North Korea to re-join the six-nation talks .
O B-org I-org I-org O O B-org I-org O B-geo O O O O O O O O O O O O O O O	An Artist & Repertoire executive for Sony BMG in Britain , he runs his own production company and is also a well-known TV personality .
O O O O B-org O O O O O O O O O O O B-org O O O B-geo I-geo O B-tim O	In other violence , NATO said its security forces killed two insurgents , including a reputed Taliban leader , in eastern Afghanistan on Saturday .
O O O O O O O B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O O	New York state 's attorney general , Andrew Cuomo , says he is launching an investigation into instances of illegal short-selling , in which traders or brokers spread FALSE information about the deals .
O B-geo I-geo O O O O O O O O O O B-geo I-geo I-geo O O O O O O O O O B-org I-org I-org O	The United States says it will send a team of diplomats to the Horn of Africa region to try to resolve the border dispute between Eritrea and Ethiopia .
B-gpe O O O O O O O O O O O O O O O B-tim O	Somalia has been continuously torn by conflict since the fall of the last stable government in 1991 .
O O O O O O O B-geo B-tim O O O O O O O O O B-tim O O O O	Tens of thousands of people rallied across Taiwan Sunday as political parties stepped up campaigning ahead of next Saturday 's parliamentary election .
O O O O B-geo O B-geo I-geo O O O O O O O O O O	In the agreement , India and Saudi Arabia also pledged to cooperate in the fight against terrorism .
O B-org I-org O O O O O O O O O O B-org I-org I-org O O O O O O O O O O O O O O O O O	The White House has yet to comment on a published report that the National Security Agency conducted broader surveillance of e-mails and telephone conversations without court orders than the administration has acknowledged .
O O O O O O O O O O O O O O O O O O O O O O O O O O O	"Officers confiscated a number of weapons , suspected imitation weapons , other suspicious devices and materials related to what authorities described as "" political ideology . """
B-geo O O O O O O O O O O O O O O O	U.S. lawmakers recently ordered construction of security fencing along the border to curb illegal crossing .
O O O O O O B-tim I-tim I-tim O	No military casualties were confirmed from today 's violence .
O O O O O O O O O O B-tim O	The greenback hit a record low compared to the euro Tuesday .
B-per I-per O O O O O O O O O O B-tim I-tim O O B-tim O O O O O O O O O O O O O O O O O O O O O O	President GBAGBO and rebel forces resumed implementation of the peace accord in December 2003 after a three-month stalemate , but issues that sparked the civil war , such as land reform and grounds for citizenship , remained unresolved .
O O O B-org I-org O O B-tim O O B-geo O O O O O O B-per O	The company , Aref Energy , said Monday that its U.S. project manager is Texas-based energy giant Halliburton .
B-per I-per O O B-org O O O O O B-per B-org O O O O O O O O O O O O O O O O	Mr. Goss says the CIA takes a neutral position on Senator McCain 's proposal , adding that some techniques restricted by the measure have yielded valuable intelligence .
O O O O B-org O O O O O O O B-geo B-tim I-tim I-tim O O O O O O O O O O O O O B-geo I-geo B-tim O O O	Economic officials from the Group of 20 industrialized nations are meeting in London Friday and Saturday to discuss this and other issues ahead of the G-20 summit in the United States later this month .
O O O O O O O O O O O O O O O O	The junta also reportedly has said she will have reduced access to her personal physician .
O O O O O B-geo B-tim I-tim O O O O O O B-geo O	The ministers last met in Cairo in July to call for a cease-fire in Lebanon .
O O O O B-geo I-geo O O O O B-tim O O O O O O O O O O O O O O B-org O O	Officials say tribesman in eastern Maarib province sabotaged the pipeline Saturday , after government forces raided the homes of tribal leaders thought to be harboring al-Qaida operatives .
B-per O O B-art I-art O O O O O O O O	Diaz-Balart told the Miami Herald newspaper that the policy should be eliminated .
B-geo O O O O O O O O O O O O B-geo O O O B-geo O O O	Russia 's nuclear power chief says his country plans to start up the Bushehr nuclear reactor in Iran this year .
O O B-per I-per O B-geo O O O O O O O O O O O B-geo O O B-geo O O O O O	"But spokesman Tony Snow repeated U.S. warnings to respond "" forcefully "" to anyone trying to kill U.S. troops in Iraq or destabilize the country ."
B-org O O O O O O O O O O O B-org I-org I-org O O O O B-tim O O O O O O O O O O O	Reuters news agency says eight elephants used for tourist rides at the Khao Lak beach resort became agitated last Sunday , more than an hour before the tsunami came ashore .
O O O O O O O O O O O O O O O	At one point , it took more than $ 1.31 to buy each euro .
B-org O O O O O O O O O O O O	Xinhua says the plant produces explosives for civilian uses such as mining .
B-per O O B-geo O O O O O O O O O B-geo O O	Chevron , a U.S. oil company , also has a stake in the Yadana project .
B-per O O O O O B-gpe O O B-org I-org O O O O B-per I-per I-per O B-geo I-geo O	Trump signed the deal with the Georgian business group Silk Road during a visit of President Mikheil Saakashvili to New York .
O B-gpe O O O O O O O B-org O O O O O O O O B-per I-per O	The Lebanese government says it will cooperate with a U.N. investigation into the killing of former prime minister Rafik Hariri .
O B-gpe O O O O O O O O O O B-geo I-geo I-geo O O O O O O O B-tim O	A Pakistani immigrant accused of plotting to bomb a subway station in New York City took the stand in his own defense Monday .
B-org O O O O	Sweden also will advance .
B-geo O O O B-per I-per I-per O O O O O O	Israel 's founding father David Ben Gurion 's grave was also desecrated .
O O O O O O O O O O O O O	All 53 people on board and one on the ground were killed .
O B-tim O O O O O O O O O O O O O O O O B-geo O O	On Monday , heavy rains triggered the collapse of a reservoir of iron-ore waste at the mine in Shanxi province .
B-geo O O O O B-org O O O O O O O O O	India 's prime minister and Cabinet are empowered to sign treaties without parliamentary backing .
B-per O O B-art I-art O O O O O O O O O O O O O O O O	Will plays a Date Doctor attempting to help a client through the problems and challenges that come along with dating .
B-org O O O O B-gpe O B-geo O B-org O O O O O O O O O O O O O O O O B-gpe O	NATO says the men discussed British , U.S. and NATO roles in reconstruction , security and counter-narcotics operations , as well as the upcoming elections in Afghanistan .
B-per I-per O O O O O B-per I-per O O O O B-geo I-geo O B-tim O	Fats Domino , whose real name is Antoine Domino , was born in New Orleans in 1928 .
O O O O O O O	All the birds have been slaughtered .
O B-gpe O O O B-org O O O O O	The Israeli water company , Mekorot , denied the allegations .
